Days,Date,Day,Travel,Sites Visited,Property Visited,NOTES,Estimated Driving Time (HHmm),Estimated Survey Time (HHmm),Estimated Post Survey Tasks Time (HHmm),Redundancy Timing (HHmm),Total Estimated Working Time,Accomodation,ACCOM LINK,
1,23/06/2026,Tuesday,WAITE CAMPUS to IVANHOE NSW,NULL,NULL,,7.08,0,0,1,8:08,IVANHOE NSW,Booking.com: Hotels in Ivanhoe. Book your hotel now!,Booked
2,24/06/2026,Wednesday,IVANHOE NSW to MOUNT HOPE NSW,NSAMDD0024 NSAMDD0023 NSAMDD0032,Kajuligah Nature Reserve Yathong Nature Reserve,,3.24,3.45,0.45,0.45,8:39,MOUNT HOPE,"Royal Hotel, Mount Hope NSW - Google Maps",Booked
3,25/06/2026,Thursday,MOUNT HOPE NSW to HILLSTON NSW,NSAMDD0031 NSACOP0001 NSACOP0002,Yathong Nature Reserve,,3.02,3.45,0.45,0.45,8:17,HILSTON,Hillston Motel & Shamrock Restaurant,Booked
4,26/06/2026,Friday,HILLSTON NSW to HILLSTON NSW,NSAMDD0019 NSAMDD0021 NSAMDD0020 NSAMDD0022 ,Nombinnie Nature Reserve            ,,1.58,5,1,1,8:58,HILLSTON,Hillston Motel & Shamrock Restaurant,Booked
,27/06/2026,Saturday,HILLSTON NSW to CONOBOLIN NSW,NSAMDD0017 NSAMDD0018 ,Langtree Nature Reserve Loughnan Nature Reserve ,,2.46,3.3,0.3,0.3,7:16,CONOBOLIN,"Railway Hotel Condobolin | Accommodation, Dining & Bar",Booked + 'paid'
5,28/06/2026,Sunday,CONOBOLIN NSW to GILGANDRA NSW,NSANSS0001 NSANSS0002,Goobang National Park,,3.59,2.3,0.3,0.3,7:29,GILGANDRA NSW,https://www.gilgandramotel.com.au/,Booked
6,29/06/2026,Monday,GILGANDRA NSW to NARRABI NSW,NSABBS0004 NSABBS0005 NSABBS0006,Pilliga State Conservation Area,,3.39,3.45,0.45,0.45,8:54,NARRABI,Adelong Motel https://www.booking.com/Share-AUTMBM,Booked
7,30/06/2026,Tuesday,NARRABI NSW to TEXAS NSW,NSABBS0003 NSABBS0012 ,Pilliga State Conservation Area                                                 Glen Orten Station    ,,5.34,3.3,0.3,0.3,10:04,TEXAS,Texas Motel - Clean and comfortable accommodation in Texas Qld. Licensed onsite Restaurant.,Booked
8,1/07/2026,Wednesday,TEXAS NSW to BRISBANE QLD,NULL,NULL,PICK UP TRAILER BOOKED FOR 1PM. DROP OFF CAR AT UQ ,3.57,,,5,8:57,BRISBANE ,"Imperial Motel Windsor, Brisbane (updated prices 2026)",Booked
9,2/07/2026,Thursday,BRISBANE QLD to ADELAIDE SA,NULL,NULL,Travel Day,,,,,,,,
