Days,Date,Day,Travel,Sites Visited,Property Visited,NOTES,Estimated Driving Time (HHmm),Estimated Survey Time (HHmm),Estimated Post Survey Tasks Time (HHmm),Redundancy Timing (HHmm),Total Estimated Working Time,Accomodation,ACCOM LINK,
1,20/07/2026,Monday,ADELAIDE to BRISBANE - QF1280 0930-1230,NA,NA,ORGANISE CAR AND TRAILER PICK UP,,,,,8H TRAVEL DAY,,
2,21/07/2026,Tuesday,BRISBANE QLD to EMMAVILLE NSW,NSASEQ0001 NSASEQ0002,Pagans Flat · Jana Ngalee Local Aboriginal Land Council Property,,5.4,2.3,0.3,0.3,8:18,EMMAVILLE CARAVAN PARK,
3,22/07/2026,Wednesday,EMMAVILLE NSW to WERRIS CREEK NSW,NSANET0001 NSANET0006,Torrington State Conservation Area,,4.47,2.3,0.3,0.3,7:22,Best Western Quirindi RSL Motel,
4,23/07/2026,Thursday,WERRIS CREEK NSW to GUNNEDAH NSW,NSABBS0007 NSABBS0008 NSABBS0009 NSABBS0010,Breeza Station · Wondoba State Conservation Area,,2.02,5,1,1,9:01,GUNNEDAH,
5,24/07/2026,Friday,GUNNEDAH NSW to COBAR NSW,NSABBS0001 NSABBS0002,Warrumbungle National Park,Approved carryover from 01-ADL-BRI; replaces Gowrie (NSABBS0011),5.53,2.3,0.3,0.3,8:43,COBAR,
6,25/07/2026,Saturday,COBAR NSW to PAROO-DARLING NATIONAL PARK NSW,NSAMDD0030 NSAMDD0029,Paroo Darling National Park,,3.08,2.3,0.3,0.3,6:38,Coach and Horses campground - Paroo Darling National Park,
7,26/07/2026,Sunday,PAROO-DARLING NATIONAL PARK to PAROO-DARLING NATIONAL PARK,NSAMDD0027 NSAMDD0028 NSAMDD0026,Paroo Darling National Park,,3.1,3.45,0.45,0.45,7:55,Coach and Horses campground - Paroo Darling National Park,
8,27/07/2026,Monday,PAROO-DARLING NATIONAL PARK to BROKEN HILL NSW,NSAMDD0025 NSABHC0026 NSABHC0008,Paroo Darling National Park · Melool Station · Broken Hill Town Common,,4.46,3.45,0.45,0.45,9:01,BROKEN HILL OUTBACK RESORT,
9,28/07/2026,Tuesday,BROKEN HILL NSW to BROKEN HILL NSW,NSABHC0004 NSABHC0005 NSABHC0006 NSABHC0007 NSABHC0027,Glen Idol Station · K-Tank Station · Avondale Station,,1.03,6.15,1.15,1.15,9:28,BROKEN HILL OUTBACK RESORT,
10,29/07/2026,Wednesday,BROKEN HILL NSW to BROKEN HILL NSW,NSABHC0003 NSABHC0001 NSABHC0002,Broken Hill Town Common,,1.04,3.45,0.45,0.45,6:39,Comfort Inn Crystal Broken Hill,
